國語,#genre#
黃百鳴經典爆笑代表作 笑看人性貪婪與救贖｜發達秘笈 (國語) How to Be a Millionaire｜李美鳳｜鄭文雅｜楊寶玲｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=pAOxtz0y3Rc
鄭裕玲✕李美鳳✕午馬 女力暴走 荒誕犯罪 四女一夜捲入生死局｜夜瘋狂 (國語) All Night Long｜鄭裕玲｜郭錦恩｜陳奕詩｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=sd4S2Ti80M0
三個少年 一場命運的背離 改編自小野同名小說｜黑皮與白牙 (Untold Story)｜屈中恆｜顧寶明｜黃坤玄｜李立群｜李興文｜國語中字｜8號電影院 HK Movie｜美亞｜1987,https://www.youtube.com/watch?v=Gkit_joFcM0
鄭浩南主演 90年代港產科幻神作！超前腦洞+硬派動作｜霹靂戰士 (國語) The Future Hero｜鄭浩南｜吳雪雯｜張志堅｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=CEm_126NSE4
葉童 盧冠廷 港式情愛寫實鉅獻 為家而嫁 為愛而追｜半段情 (國語) Infatuation｜盧冠廷｜葉童｜許冠英｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01｜1/2段情,https://www.youtube.com/watch?v=H5vnewiGD0g
勇猛警探錢小豪 遇上 粗心搭檔梁藝齡 掃黃破案雙雄出擊｜出更二人組 (國語) Two Cops On The Beat｜錢小豪｜梁藝齡｜簡佩筠｜詹秉熙｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=RdSfz1yvk78
眷村少年夢闖台北 台灣80年代的熱血與迷惘 台式黑色幽默｜寒假有夠長 (Winter Break)｜陳松勇｜午馬｜郎雄｜曹蘭｜屈中恆｜吳念真編劇｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=XTbGKXOPaYs
再現台灣青春疼與痛 眷村少年 茶室之子 操場的呼喚與別離｜又見操場 (Playground Once Again)｜李志奇｜張世｜屈中恆｜文英｜郎雄｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=riUJwa05CHI
董驃金句連發 北美奇遇記 四人共闖新移民｜四人新世界 (國語) When East Goes West｜董驃｜呂方｜黃韻詩｜吳雪雯｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=nFKO2WpPj-0
青樓女子怒對權貴 姊妹情深 胭脂淚濕紅塵路｜胭花淚 (國語) Tears of Butterflies｜梁藝齡｜許秋怡｜羅樂林｜龍方｜李家鼎｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=lvXtG9uXE7w
